ID,age,current_occupation,first_interaction,profile_completed,website_visits,time_spent_on_website,page_views_per_visit,last_activity,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status
EXT885,54,Professional,Mobile App,High,4,1426,3.488,Phone Activity,Yes,No,No,No,No,0
EXT886,43,Professional,Website,High,5,44,3.232,Website Activity,No,Yes,No,No,No,0
EXT887,59,Professional,Website,High,1,567,2.151,Email Activity,No,No,No,No,No,1
EXT888,58,Unemployed,Mobile App,High,7,81,3.693,Website Activity,No,No,No,Yes,No,0
EXT889,59,Professional,Website,High,2,311,5.2,Email Activity,Yes,No,No,Yes,No,1
EXT890,60,Professional,Website,Medium,6,495,5.543,Email Activity,No,Yes,Yes,No,No,1
EXT891,45,Unemployed,Website,High,2,1131,2.075,Website Activity,Yes,No,No,No,No,1
EXT892,51,Professional,Mobile App,High,3,318,4.16,Email Activity,No,No,No,No,No,0
EXT893,33,Unemployed,Mobile App,Medium,11,1539,2.084,Email Activity,No,No,No,No,No,0
EXT894,50,Unemployed,Website,Medium,2,2008,2.081,Phone Activity,No,No,No,No,No,0
EXT895,60,Unemployed,Website,High,3,543,1.857,Email Activity,No,No,No,Yes,No,1
EXT896,30,Professional,Website,Low,2,76,2.792,Website Activity,No,No,No,No,No,0
EXT897,33,Professional,Mobile App,Medium,4,232,3.392,Email Activity,No,No,No,No,No,0
EXT898,41,Professional,Website,High,6,361,3.694,Phone Activity,No,No,No,No,No,1
EXT899,28,Professional,Mobile App,Medium,6,447,0.086,Phone Activity,No,No,No,No,No,0
EXT900,50,Unemployed,Mobile App,High,1,317,3.295,Website Activity,No,No,No,No,No,0
EXT901,29,Professional,Mobile App,Medium,4,306,3.421,Email Activity,No,No,No,No,No,0
EXT902,57,Unemployed,Mobile App,High,2,2329,7.83,Phone Activity,No,No,Yes,No,No,0
EXT903,48,Unemployed,Website,High,6,1815,2.122,Phone Activity,No,No,Yes,No,No,0
EXT904,40,Unemployed,Website,High,2,417,0.127,Website Activity,No,No,No,No,No,1
EXT905,59,Professional,Website,Medium,3,2288,2.188,Email Activity,No,No,No,No,No,1
EXT906,26,Professional,Website,Medium,1,211,0.291,Email Activity,No,No,No,No,No,0
EXT907,48,Professional,Website,Medium,3,373,3.756,Email Activity,No,No,No,No,No,0
EXT908,58,Unemployed,Website,High,1,334,5.408,Email Activity,No,No,No,No,No,1
EXT909,49,Professional,Website,Medium,7,301,0.09,Email Activity,No,No,No,Yes,No,0
EXT910,18,Student,Website,High,2,225,5.68,Phone Activity,No,No,No,No,No,0
EXT911,29,Professional,Website,Medium,4,290,3.137,Email Activity,No,No,No,No,No,0
EXT912,42,Professional,Website,Medium,5,1207,5.324,Website Activity,Yes,No,No,No,No,1
EXT913,46,Unemployed,Mobile App,Medium,4,236,5.531,Email Activity,No,Yes,No,No,No,0
EXT914,45,Professional,Website,High,3,83,0.083,Email Activity,No,No,Yes,No,No,1
EXT915,40,Unemployed,Website,Medium,1,576,2.193,Website Activity,No,No,No,No,No,0
EXT916,34,Unemployed,Website,Medium,4,409,2.23,Phone Activity,No,No,No,Yes,No,0
EXT917,59,Professional,Website,High,3,364,5.26,Phone Activity,Yes,No,No,No,No,1
EXT918,43,Professional,Website,High,0,0,0,Email Activity,No,No,No,No,No,1
EXT919,58,Professional,Website,High,9,142,1.924,Phone Activity,Yes,No,Yes,Yes,No,0
EXT920,57,Professional,Mobile App,High,2,382,8.185,Website Activity,No,No,No,No,No,0
EXT921,23,Student,Mobile App,Medium,2,42,1.953,Phone Activity,No,No,No,No,No,0
EXT922,59,Professional,Mobile App,High,2,412,5.366,Phone Activity,No,No,No,No,No,0
EXT923,58,Professional,Website,Medium,3,61,8.303,Phone Activity,Yes,No,No,No,No,0
EXT924,58,Unemployed,Website,High,1,73,5.521,Email Activity,No,No,No,Yes,No,0
EXT925,57,Professional,Mobile App,High,3,1347,2.044,Email Activity,No,No,No,Yes,No,0
EXT926,57,Professional,Website,High,1,833,3.447,Email Activity,No,No,No,No,Yes,1
EXT927,59,Professional,Website,High,2,173,2.745,Email Activity,No,No,No,Yes,No,1
EXT928,35,Unemployed,Mobile App,Medium,9,1336,0.324,Email Activity,No,No,No,No,No,0
EXT929,56,Professional,Mobile App,High,1,639,3.581,Website Activity,No,No,No,No,No,0
EXT930,63,Unemployed,Website,High,4,1436,2.213,Email Activity,No,No,No,No,No,1
EXT931,22,Student,Mobile App,Medium,5,2236,3.504,Website Activity,Yes,No,No,No,No,0
EXT932,44,Unemployed,Website,High,1,374,0.287,Email Activity,No,No,No,No,No,1
EXT933,58,Unemployed,Mobile App,Medium,2,2117,2.158,Email Activity,No,No,No,No,No,0
EXT934,28,Professional,Mobile App,High,2,223,1.742,Email Activity,No,No,Yes,Yes,No,0
EXT935,62,Unemployed,Mobile App,Medium,3,29,2.049,Email Activity,Yes,No,Yes,No,No,0
EXT936,48,Unemployed,Mobile App,Medium,3,1232,4.333,Website Activity,No,No,No,No,No,0
EXT937,55,Professional,Mobile App,High,5,2250,5.762,Phone Activity,No,No,No,Yes,No,0
EXT938,34,Professional,Website,High,3,2485,5.25,Website Activity,No,No,No,No,No,1
EXT939,55,Professional,Website,Medium,2,71,2.185,Phone Activity,No,No,No,No,No,0
EXT940,49,Unemployed,Mobile App,High,2,1814,5.539,Email Activity,No,No,No,No,No,1
EXT941,55,Professional,Mobile App,High,1,60,3.71,Phone Activity,No,No,Yes,No,No,0
EXT942,43,Professional,Website,High,13,2262,3.396,Phone Activity,No,No,No,Yes,No,0
EXT943,58,Unemployed,Mobile App,Medium,12,326,1.407,Email Activity,No,No,No,Yes,No,0
EXT944,58,Professional,Website,High,13,487,3.452,Email Activity,No,No,No,Yes,No,1
EXT945,60,Unemployed,Mobile App,Medium,1,405,3.064,Email Activity,No,No,No,No,No,0
EXT946,55,Professional,Website,High,7,601,5.019,Website Activity,No,No,No,No,No,1
EXT947,57,Professional,Website,High,0,0,0,Email Activity,Yes,No,No,No,No,1
EXT948,37,Professional,Mobile App,High,7,90,0.325,Email Activity,No,No,No,No,No,0
EXT949,57,Professional,Mobile App,Medium,3,444,2.263,Email Activity,No,Yes,No,No,No,0
EXT950,59,Unemployed,Mobile App,High,2,338,2.08,Website Activity,No,No,No,No,No,0
EXT951,39,Professional,Website,High,1,40,6.775,Website Activity,Yes,No,No,No,No,1
EXT952,56,Unemployed,Website,High,6,2303,1.804,Email Activity,No,No,No,Yes,No,1
EXT953,28,Professional,Website,High,4,405,2.292,Phone Activity,No,No,No,No,No,0
EXT954,60,Professional,Website,High,1,535,2.101,Website Activity,No,No,Yes,No,No,1
EXT955,58,Professional,Mobile App,Medium,2,88,5.965,Phone Activity,Yes,No,No,Yes,No,0
EXT956,54,Professional,Mobile App,Medium,6,491,1.928,Email Activity,No,No,No,Yes,No,0
EXT957,58,Professional,Website,High,6,317,5.792,Website Activity,No,No,No,No,No,1
EXT958,20,Student,Mobile App,Medium,3,627,3.568,Email Activity,Yes,No,No,No,No,1
EXT959,44,Professional,Mobile App,High,1,93,3.327,Email Activity,No,No,Yes,No,No,0
EXT960,58,Professional,Mobile App,Medium,0,0,0,Phone Activity,No,No,No,No,No,0
EXT961,23,Student,Mobile App,High,2,196,2.116,Phone Activity,Yes,No,No,Yes,No,0
EXT962,57,Professional,Mobile App,High,6,1341,3.451,Email Activity,No,No,No,No,No,0
EXT963,59,Unemployed,Mobile App,Medium,5,647,3.242,Email Activity,Yes,No,Yes,Yes,No,0
EXT964,59,Professional,Website,Medium,2,402,3.446,Email Activity,No,No,No,No,No,0
EXT965,56,Unemployed,Mobile App,Medium,1,72,2.195,Website Activity,No,No,No,No,No,0
EXT966,18,Student,Website,High,1,246,3.784,Email Activity,No,No,Yes,Yes,No,0
EXT967,52,Professional,Mobile App,High,4,1080,3.931,Phone Activity,No,No,No,No,No,0
EXT968,55,Unemployed,Website,High,2,386,2.772,Email Activity,No,No,No,No,No,0
EXT969,57,Professional,Website,Medium,1,1359,2.7,Website Activity,No,No,No,No,Yes,0
EXT970,32,Professional,Website,Medium,4,312,7.718,Website Activity,No,No,No,Yes,No,0
EXT971,46,Professional,Mobile App,Medium,2,40,3.818,Email Activity,No,No,Yes,No,No,0
EXT972,57,Professional,Mobile App,Medium,2,1343,0.019,Website Activity,No,No,No,No,No,0
EXT973,56,Professional,Website,High,4,68,2.132,Email Activity,Yes,No,No,No,No,1
EXT974,60,Professional,Website,Medium,4,1486,3.659,Website Activity,No,No,No,Yes,No,0
EXT975,58,Unemployed,Website,Medium,2,1,0.149,Email Activity,No,No,No,No,No,0
EXT976,58,Professional,Website,High,1,2200,1.901,Website Activity,No,No,No,No,No,1
EXT977,25,Professional,Mobile App,High,3,1505,2.235,Email Activity,No,No,No,No,No,0
EXT978,36,Professional,Website,Medium,5,688,2.142,Email Activity,Yes,No,Yes,No,No,1
EXT979,59,Professional,Mobile App,High,1,1985,3.289,Email Activity,No,No,No,No,No,0
EXT980,58,Professional,Mobile App,Medium,7,573,3.775,Email Activity,No,Yes,No,No,No,0
EXT981,53,Professional,Website,Medium,11,74,3.06,Phone Activity,No,No,No,No,No,0
EXT982,32,Unemployed,Website,High,1,1716,5.812,Email Activity,No,No,No,No,No,1
EXT983,48,Professional,Website,Medium,5,337,0.275,Phone Activity,No,No,No,No,No,0
EXT984,54,Professional,Website,Medium,2,2227,3.568,Phone Activity,No,No,No,No,No,1
EXT985,36,Professional,Mobile App,High,5,176,8.131,Email Activity,No,No,No,No,No,0
EXT986,60,Professional,Mobile App,Medium,0,0,0,Phone Activity,No,No,No,Yes,No,0
EXT987,32,Professional,Website,High,1,58,2.784,Phone Activity,No,No,No,No,No,0
EXT988,42,Professional,Website,High,1,367,1.901,Website Activity,No,No,No,No,No,0
EXT989,56,Professional,Mobile App,High,6,604,3.356,Email Activity,No,No,No,No,Yes,1
EXT990,39,Professional,Website,High,2,1599,2.202,Phone Activity,No,No,No,Yes,No,1
EXT991,39,Professional,Website,High,3,83,5.317,Phone Activity,No,No,Yes,No,No,1
EXT992,47,Professional,Website,High,2,1843,3.844,Website Activity,No,No,No,No,No,1
EXT993,23,Student,Mobile App,High,4,91,3.878,Phone Activity,No,No,No,No,No,0
EXT994,21,Student,Mobile App,High,2,572,5.459,Website Activity,No,No,No,No,No,0
EXT995,37,Professional,Website,Medium,0,0,0,Phone Activity,Yes,No,No,Yes,No,0
EXT996,22,Student,Website,High,4,288,2.165,Phone Activity,No,No,No,No,No,0
EXT997,59,Unemployed,Mobile App,High,8,648,1.951,Email Activity,No,No,No,No,No,1
EXT998,26,Professional,Website,Medium,5,327,5.529,Email Activity,No,Yes,No,Yes,No,0
EXT999,59,Unemployed,Mobile App,Medium,10,1390,2.286,Email Activity,Yes,No,No,No,No,0
EXT1000,52,Professional,Mobile App,High,1,1255,0.216,Website Activity,No,No,No,No,No,0
EXT1001,59,Unemployed,Website,Medium,1,598,3.757,Website Activity,No,No,No,No,No,1
EXT1002,46,Professional,Website,Medium,2,118,2.08,Email Activity,No,No,No,No,No,0
EXT1003,32,Unemployed,Website,Medium,2,404,3.678,Email Activity,No,No,No,No,No,0
EXT1004,45,Unemployed,Website,High,4,222,0.319,Email Activity,No,No,No,Yes,No,0
EXT1005,49,Unemployed,Mobile App,High,5,360,3.579,Phone Activity,No,No,No,No,No,0
EXT1006,56,Professional,Website,Medium,1,91,3.79,Email Activity,No,No,Yes,No,No,0
EXT1007,57,Unemployed,Website,High,1,1822,2.957,Website Activity,No,No,No,No,No,1
EXT1008,18,Student,Mobile App,Medium,2,1857,2.209,Email Activity,No,No,No,No,No,0
EXT1009,57,Professional,Mobile App,Medium,1,651,0.167,Website Activity,No,No,No,No,No,1
EXT1010,22,Student,Mobile App,Medium,6,221,3.614,Website Activity,No,No,No,Yes,No,0
EXT1011,60,Professional,Website,High,1,1579,1.904,Email Activity,No,No,No,No,No,1
EXT1012,22,Student,Mobile App,High,1,343,1.563,Website Activity,No,No,No,No,No,0
EXT1013,52,Professional,Website,Medium,2,1240,0.275,Website Activity,No,No,No,No,No,1
EXT1014,50,Professional,Website,Medium,0,0,0,Email Activity,No,No,No,No,No,0
EXT1015,59,Professional,Mobile App,High,2,1424,2.063,Website Activity,No,No,No,No,No,0
EXT1016,18,Student,Website,High,6,359,5.547,Phone Activity,No,No,No,Yes,No,0
EXT1017,56,Unemployed,Website,High,5,447,5.372,Phone Activity,No,No,No,No,Yes,1
EXT1018,33,Professional,Website,High,1,337,3.336,Email Activity,No,No,No,Yes,No,1
EXT1019,55,Unemployed,Mobile App,Medium,3,374,0.232,Email Activity,No,No,No,Yes,No,0
EXT1020,56,Professional,Website,Medium,2,555,3.05,Website Activity,No,No,No,No,No,1
EXT1021,23,Student,Website,High,2,375,2.111,Website Activity,No,No,No,No,No,0
EXT1022,53,Professional,Website,High,6,291,3.752,Website Activity,No,No,No,Yes,No,1
EXT1023,57,Professional,Mobile App,High,2,1979,1.954,Website Activity,No,No,No,Yes,No,0
EXT1024,47,Unemployed,Website,Medium,1,273,3.306,Phone Activity,No,No,Yes,No,No,0
EXT1025,46,Professional,Website,High,4,824,2.176,Phone Activity,No,No,No,No,No,1
EXT1026,53,Unemployed,Mobile App,High,5,1536,5.483,Email Activity,No,No,No,No,No,0
EXT1027,45,Professional,Mobile App,Medium,3,60,5.653,Email Activity,No,No,No,No,No,0
EXT1028,56,Professional,Website,High,3,407,2.104,Phone Activity,No,No,No,No,No,1
EXT1029,59,Unemployed,Website,Medium,2,381,1.857,Email Activity,No,No,Yes,No,No,0
EXT1030,56,Unemployed,Mobile App,High,1,1197,2.047,Website Activity,No,Yes,No,No,No,1
EXT1031,59,Unemployed,Website,High,6,2013,1.645,Email Activity,Yes,No,Yes,Yes,No,1
EXT1032,56,Professional,Website,Medium,1,158,2.203,Website Activity,No,No,No,No,No,0
EXT1033,56,Professional,Website,High,3,1903,3.473,Email Activity,Yes,No,No,No,No,1
EXT1034,57,Professional,Website,Medium,3,1034,2.105,Email Activity,No,Yes,No,No,No,1
EXT1035,56,Unemployed,Mobile App,Medium,2,40,2.042,Website Activity,Yes,No,Yes,Yes,No,0
EXT1036,38,Professional,Website,Low,4,174,2.097,Email Activity,No,No,No,No,No,0
EXT1037,55,Unemployed,Website,Medium,2,1845,3.485,Email Activity,Yes,No,No,Yes,No,0
EXT1038,57,Professional,Website,Medium,5,1852,2.152,Email Activity,No,No,No,No,No,1
EXT1039,19,Student,Website,High,10,659,5.265,Phone Activity,No,No,No,No,No,0
EXT1040,48,Professional,Website,High,8,89,0.167,Email Activity,No,No,No,No,No,1
EXT1041,28,Professional,Mobile App,High,3,86,2.226,Website Activity,No,No,No,No,No,0
EXT1042,56,Professional,Mobile App,Medium,5,31,4.904,Phone Activity,No,No,No,No,No,0
EXT1043,50,Professional,Website,High,1,210,2.803,Email Activity,Yes,No,No,No,No,1
EXT1044,23,Student,Website,High,7,62,5.668,Email Activity,No,No,No,No,No,1
EXT1045,24,Student,Website,High,6,53,3.582,Phone Activity,No,No,No,No,No,0
EXT1046,60,Professional,Website,Medium,16,2072,9.058,Email Activity,Yes,No,Yes,Yes,No,1
EXT1047,44,Unemployed,Mobile App,Medium,13,232,5.521,Phone Activity,No,No,No,No,No,0
EXT1048,47,Unemployed,Mobile App,High,9,314,0.257,Email Activity,No,No,Yes,No,No,0
EXT1049,24,Student,Website,Medium,3,164,2.041,Phone Activity,No,No,No,Yes,No,0
EXT1050,57,Professional,Mobile App,Medium,0,0,0,Email Activity,No,No,No,No,No,0
EXT1051,36,Professional,Mobile App,High,4,2269,2.228,Website Activity,No,No,No,Yes,No,0
EXT1052,20,Student,Website,High,3,310,1.321,Website Activity,No,Yes,No,No,No,0
EXT1053,28,Professional,Website,Medium,5,1865,1.879,Website Activity,No,No,Yes,Yes,No,1
EXT1054,55,Professional,Mobile App,High,3,58,3.749,Phone Activity,No,No,No,No,No,0
EXT1055,56,Unemployed,Website,High,0,0,0,Email Activity,No,No,No,No,No,1
EXT1056,49,Professional,Mobile App,Medium,6,2499,3.8,Email Activity,No,No,No,No,No,0
EXT1057,33,Unemployed,Website,Medium,2,2478,2.189,Phone Activity,No,No,No,No,No,0
EXT1058,53,Unemployed,Website,Medium,5,1554,2.123,Email Activity,No,No,No,Yes,No,1
EXT1059,60,Professional,Website,High,1,375,3.91,Email Activity,Yes,No,No,No,No,1
EXT1060,21,Student,Mobile App,Low,3,315,4.386,Email Activity,No,No,No,Yes,No,0
EXT1061,61,Unemployed,Mobile App,Medium,1,1,1.484,Email Activity,No,No,No,No,No,0
EXT1062,37,Professional,Website,High,4,1756,8.455,Email Activity,No,No,No,No,No,1
EXT1063,35,Professional,Mobile App,High,3,575,2.234,Email Activity,Yes,No,No,No,No,0
EXT1064,22,Student,Website,High,8,66,2.221,Website Activity,No,No,No,No,No,0
EXT1065,18,Student,Mobile App,High,6,1589,0.031,Email Activity,No,No,No,No,No,0
EXT1066,59,Professional,Website,High,11,401,0.202,Website Activity,No,No,No,No,No,1
EXT1067,38,Professional,Website,High,1,244,2.134,Website Activity,No,No,No,No,No,1
EXT1068,57,Professional,Website,High,18,371,3.783,Website Activity,Yes,No,No,No,No,0
EXT1069,55,Unemployed,Mobile App,High,2,1073,1.335,Email Activity,No,No,No,No,No,0
EXT1070,59,Professional,Website,High,1,1,2.039,Phone Activity,No,No,No,No,No,1
EXT1071,36,Professional,Mobile App,High,2,1104,3.679,Email Activity,No,No,No,No,No,0
EXT1072,59,Professional,Website,Medium,6,517,3.239,Email Activity,Yes,No,No,No,No,1
EXT1073,24,Student,Website,High,2,177,0.04,Website Activity,Yes,No,No,Yes,No,0
EXT1074,23,Student,Mobile App,High,7,243,3.512,Email Activity,No,No,No,No,No,0
EXT1075,55,Unemployed,Mobile App,High,7,2214,1.982,Email Activity,No,No,No,No,No,0
EXT1076,27,Professional,Mobile App,Medium,1,377,7.663,Website Activity,No,No,No,Yes,No,0
EXT1077,56,Unemployed,Mobile App,Medium,2,78,5.695,Email Activity,No,No,No,Yes,No,0
EXT1078,19,Student,Website,High,1,1158,2.141,Phone Activity,No,No,No,No,No,0
EXT1079,62,Unemployed,Mobile App,Medium,2,2265,2.112,Email Activity,No,No,No,No,No,0
EXT1080,56,Professional,Mobile App,High,2,2531,2.023,Phone Activity,No,No,No,No,No,0
EXT1081,51,Unemployed,Mobile App,High,2,2068,2.245,Phone Activity,No,No,No,No,No,0
EXT1082,34,Professional,Website,High,3,1800,2.152,Phone Activity,No,No,No,Yes,No,1
EXT1083,50,Professional,Mobile App,Medium,7,52,1.805,Email Activity,Yes,Yes,Yes,Yes,No,0
EXT1084,46,Unemployed,Mobile App,Low,7,79,3.617,Website Activity,No,No,No,No,No,0
EXT1085,23,Student,Website,Medium,6,203,2.03,Email Activity,No,No,No,No,No,0
EXT1086,55,Professional,Mobile App,High,1,390,1.45,Phone Activity,No,No,No,Yes,No,0
EXT1087,41,Professional,Website,High,1,1,2.267,Email Activity,No,No,No,No,No,1
EXT1088,59,Professional,Mobile App,High,5,419,3.362,Email Activity,No,No,No,No,No,0
EXT1089,58,Unemployed,Mobile App,Medium,9,299,8.858,Phone Activity,No,No,Yes,No,No,0
EXT1090,56,Professional,Website,High,3,80,2.132,Phone Activity,No,No,No,No,No,0
EXT1091,46,Unemployed,Mobile App,High,9,203,2.166,Email Activity,No,No,No,Yes,No,0
EXT1092,47,Unemployed,Website,High,2,314,2.06,Phone Activity,No,Yes,No,No,No,0
EXT1093,57,Professional,Mobile App,Medium,5,91,1.971,Email Activity,No,No,No,No,No,0
EXT1094,58,Professional,Mobile App,Medium,3,1,3.701,Phone Activity,No,No,No,No,No,0
EXT1095,57,Professional,Mobile App,High,8,68,3.099,Email Activity,No,No,No,No,No,0
EXT1096,47,Unemployed,Website,Medium,1,417,5.629,Website Activity,No,No,No,No,No,0
EXT1097,28,Professional,Mobile App,Medium,5,378,2.245,Website Activity,No,No,No,Yes,No,0
EXT1098,59,Professional,Website,High,0,0,0,Email Activity,No,No,No,No,No,1
EXT1099,22,Student,Website,Medium,6,2372,3.263,Phone Activity,No,No,No,No,No,0
EXT1100,32,Professional,Website,High,2,58,0.274,Website Activity,No,Yes,No,Yes,No,0
EXT1101,57,Professional,Website,Medium,5,107,3.305,Phone Activity,No,No,No,No,No,0
EXT1102,24,Student,Website,Medium,4,425,0.285,Email Activity,No,No,No,No,No,0
EXT1103,59,Professional,Mobile App,High,4,205,1.757,Email Activity,No,No,No,No,No,0
EXT1104,57,Professional,Website,Medium,2,680,5.361,Website Activity,No,No,No,No,No,1
EXT1105,56,Professional,Mobile App,High,2,152,2.216,Website Activity,No,No,No,No,No,0
EXT1106,60,Professional,Website,Medium,1,90,5.863,Email Activity,No,No,No,No,No,0
EXT1107,44,Unemployed,Mobile App,Medium,2,1234,2.261,Email Activity,No,No,No,No,No,0
EXT1108,32,Unemployed,Mobile App,High,2,940,5.628,Website Activity,No,No,No,Yes,No,1
EXT1109,60,Professional,Website,High,4,41,2.247,Email Activity,No,No,No,No,No,0
EXT1110,60,Professional,Website,High,3,1038,2.174,Website Activity,No,No,No,No,No,1
EXT1111,57,Professional,Mobile App,High,2,407,3.575,Phone Activity,No,No,Yes,No,No,0
EXT1112,58,Professional,Website,High,7,329,8.231,Website Activity,No,No,No,Yes,No,1
EXT1113,56,Professional,Mobile App,High,2,1209,8.5,Email Activity,No,No,No,No,No,0
EXT1114,51,Professional,Mobile App,High,5,713,0.104,Email Activity,No,No,No,No,Yes,1
EXT1115,55,Professional,Mobile App,High,2,1506,2.693,Email Activity,No,No,No,No,No,0
EXT1116,58,Professional,Mobile App,Medium,7,1492,2.407,Email Activity,No,No,No,No,No,0
EXT1117,32,Professional,Mobile App,High,2,362,1.402,Email Activity,Yes,No,No,No,No,0
EXT1118,53,Professional,Mobile App,High,2,1410,2.192,Email Activity,No,Yes,No,Yes,Yes,1
EXT1119,57,Professional,Website,Medium,1,164,3.085,Email Activity,No,No,No,Yes,No,0
EXT1120,25,Professional,Mobile App,Medium,1,1240,11.739,Website Activity,No,No,No,No,No,0
EXT1121,28,Professional,Mobile App,Medium,1,281,2.156,Website Activity,No,No,No,No,No,0
EXT1122,62,Unemployed,Website,High,7,626,0.233,Phone Activity,No,No,No,No,No,1
EXT1123,62,Unemployed,Website,Low,2,162,7.284,Email Activity,No,No,No,No,No,0
EXT1124,58,Professional,Website,Medium,4,202,3.136,Email Activity,Yes,No,No,No,No,0
EXT1125,57,Professional,Website,High,8,350,2.056,Email Activity,No,No,No,No,No,0
EXT1126,59,Unemployed,Mobile App,High,1,2335,1.827,Phone Activity,No,No,No,No,No,0
EXT1127,45,Professional,Website,Medium,3,1,6.996,Email Activity,No,No,No,Yes,No,0
EXT1128,58,Professional,Mobile App,Medium,2,1481,2.24,Email Activity,No,No,No,No,No,0
EXT1129,42,Professional,Mobile App,Medium,7,271,5.593,Website Activity,No,No,No,No,No,0
EXT1130,53,Professional,Mobile App,High,9,2443,2.066,Email Activity,No,No,No,Yes,No,0
EXT1131,21,Student,Mobile App,Medium,2,86,2.176,Website Activity,No,No,No,No,No,0
EXT1132,59,Professional,Website,High,2,1810,3.534,Website Activity,No,No,Yes,No,No,1
EXT1133,55,Unemployed,Website,High,1,654,0.144,Email Activity,No,No,No,No,No,1
EXT1134,56,Professional,Mobile App,High,3,2216,1.966,Website Activity,Yes,No,No,Yes,No,1
EXT1135,24,Student,Website,Medium,2,676,8.107,Email Activity,No,No,No,No,No,0
EXT1136,28,Professional,Mobile App,Medium,2,1921,3.383,Phone Activity,No,No,No,No,No,0
EXT1137,50,Professional,Website,High,1,1934,3.537,Email Activity,No,No,Yes,No,No,1
EXT1138,57,Professional,Website,High,5,2321,3.615,Phone Activity,No,No,No,No,No,1
EXT1139,56,Professional,Website,Medium,2,355,5.637,Email Activity,No,No,No,No,No,0
EXT1140,29,Professional,Website,Medium,5,378,1.779,Email Activity,No,No,No,No,No,0
EXT1141,58,Professional,Website,Medium,5,24,0.042,Email Activity,No,No,No,No,No,0
EXT1142,40,Professional,Website,High,2,377,3.38,Phone Activity,No,No,No,No,No,0
EXT1143,60,Unemployed,Mobile App,High,5,83,2.233,Email Activity,No,No,No,No,No,0
EXT1144,58,Unemployed,Mobile App,High,2,370,2.187,Email Activity,No,No,No,No,No,0
EXT1145,58,Professional,Website,Medium,4,121,1.662,Email Activity,Yes,No,No,No,No,0
EXT1146,23,Student,Mobile App,Low,2,237,3.368,Phone Activity,No,No,No,No,No,0
EXT1147,57,Professional,Mobile App,Medium,2,570,5.662,Website Activity,No,No,No,No,No,0
EXT1148,42,Professional,Website,Medium,3,578,2.054,Phone Activity,No,No,No,Yes,No,0
EXT1149,63,Unemployed,Mobile App,High,6,274,2.153,Email Activity,No,Yes,No,No,No,0
EXT1150,18,Student,Mobile App,Medium,2,83,3.513,Email Activity,No,No,No,No,No,0
EXT1151,51,Professional,Mobile App,Low,3,428,5.729,Phone Activity,No,No,No,No,No,0
EXT1152,23,Student,Mobile App,High,2,9,3.228,Website Activity,No,Yes,No,No,No,0
EXT1153,55,Professional,Mobile App,Medium,4,1871,3.661,Email Activity,No,No,Yes,No,No,0
EXT1154,56,Unemployed,Website,High,3,614,2.855,Email Activity,No,No,No,No,No,1
EXT1155,59,Unemployed,Website,Medium,1,34,2.158,Email Activity,No,No,No,No,No,0
EXT1156,32,Unemployed,Mobile App,High,7,235,3.574,Email Activity,No,No,No,Yes,No,0
EXT1157,35,Unemployed,Website,High,6,253,3.611,Email Activity,No,No,No,No,No,0
EXT1158,60,Unemployed,Mobile App,Medium,4,1589,0.171,Phone Activity,No,No,No,No,No,0
EXT1159,21,Student,Website,Low,8,372,0.216,Email Activity,No,No,No,No,No,0
EXT1160,57,Unemployed,Mobile App,Medium,13,326,2.106,Phone Activity,No,No,No,No,No,0
EXT1161,41,Professional,Mobile App,Medium,5,2150,0.12,Website Activity,No,No,No,No,No,1
EXT1162,56,Professional,Website,Medium,2,1549,2.216,Phone Activity,No,No,No,Yes,No,0
EXT1163,35,Unemployed,Website,Medium,2,1937,5.111,Email Activity,No,No,Yes,No,No,0
EXT1164,45,Professional,Website,Medium,2,457,3.755,Email Activity,No,No,No,No,No,1
EXT1165,56,Professional,Website,Medium,4,357,1.963,Email Activity,No,No,No,No,No,0
EXT1166,42,Professional,Mobile App,High,2,463,2.168,Website Activity,No,No,Yes,No,No,0
EXT1167,58,Unemployed,Website,Low,1,376,3.592,Website Activity,No,No,No,No,No,0
EXT1168,48,Unemployed,Mobile App,High,4,1147,6.023,Email Activity,No,No,No,Yes,Yes,0
EXT1169,30,Professional,Website,High,1,780,1.671,Phone Activity,No,No,Yes,Yes,No,1
EXT1170,42,Professional,Mobile App,High,5,264,7.514,Phone Activity,No,No,No,No,No,0
EXT1171,45,Professional,Website,High,2,44,2.252,Website Activity,Yes,Yes,No,No,No,1
EXT1172,47,Professional,Website,High,1,73,1.5,Website Activity,No,No,Yes,No,No,0
EXT1173,43,Professional,Website,High,8,74,2.238,Website Activity,No,No,No,No,No,0
EXT1174,55,Professional,Mobile App,High,3,1917,0.331,Phone Activity,No,No,No,No,No,0
EXT1175,58,Unemployed,Website,Medium,6,1785,0.227,Email Activity,No,No,No,No,No,0
EXT1176,63,Unemployed,Website,High,1,296,0.351,Phone Activity,No,No,No,No,No,0
EXT1177,58,Unemployed,Mobile App,High,1,406,0.192,Email Activity,No,No,Yes,No,No,0
EXT1178,32,Unemployed,Website,High,8,2383,2.834,Website Activity,No,No,No,No,No,1
EXT1179,56,Unemployed,Website,High,3,1,3.512,Email Activity,No,No,No,No,No,0
EXT1180,57,Unemployed,Website,High,1,1832,3.625,Website Activity,No,No,No,Yes,No,1
EXT1181,46,Professional,Mobile App,High,2,33,2.607,Email Activity,No,No,No,No,No,0
